date,ECI
1994-03-31,3.2
1994-06-30,3.4
1994-09-30,3.2
1994-12-31,3
1995-03-31,3
1995-06-30,2.8
1995-09-30,2.8
1995-12-31,2.8
1996-03-31,2.7
1996-06-30,2.9
1996-09-30,2.8
1996-12-31,2.8
1997-03-31,2.9
1997-06-30,2.8
1997-09-30,2.9
1997-12-31,3.3
1998-03-31,3.1
1998-06-30,3.4
1998-09-30,3.6
1998-12-31,3.5
1999-03-31,3
1999-06-30,3.3
1999-09-30,3.1
1999-12-31,3.4
2000-03-31,4.4
2000-06-30,4.3
2000-09-30,4.4
2000-12-31,4.2
2001-03-31,4.1
2001-06-30,3.9
2001-09-30,4
2001-12-31,4.1
2002-03-31,3.9
2002-06-30,4
2002-09-30,3.7
2002-12-31,3.4
2003-03-31,3.9
2003-06-30,3.7
2003-09-30,3.9
2003-12-31,3.9
2004-03-31,3.7
2004-06-30,3.9
2004-09-30,3.8
2004-12-31,3.6
2005-03-31,3.5
2005-06-30,3.1
2005-09-30,3.1
2005-12-31,3.2
2006-03-31,2.8
2006-06-30,3
2006-09-30,3.3
2006-12-31,3.3
2007-03-31,3.5
2007-06-30,3.3
2007-09-30,3.3
2007-12-31,3.3
2008-03-31,3.3
2008-06-30,3.1
2008-09-30,2.9
2008-12-31,2.6
2009-03-31,2.1
2009-06-30,1.8
2009-09-30,1.5
2009-12-31,1.4
2010-03-31,1.7
2010-06-30,1.9
2010-09-30,1.9
2010-12-31,2
2011-03-31,2
2011-06-30,2.2
2011-09-30,2
2011-12-31,2
2012-03-31,1.9
2012-06-30,1.7
2012-09-30,1.9
2012-12-31,1.9
2013-03-31,1.9
2013-06-30,1.9
2013-09-30,1.9
2013-12-31,2
2014-03-31,1.8
2014-06-30,2
2014-09-30,2.2
2014-12-31,2.2
2015-03-31,2.6
2015-06-30,2
2015-09-30,2
2015-12-31,2
2016-03-31,1.9
2016-06-30,2.3
2016-09-30,2.3
2016-12-31,2.2
2017-03-31,2.4
2017-06-30,2.4
