date,CES0500000008,CES2000000007,CES2000000008,CUSR0000SA0,JTU00000000JOL,JTU23000000JOL,LNU03000000,LNU03032231,CON_RW_12CH,TOT_RW_12CH,CON_UNOP,TOT_UNOP
2014-01-01,20.4,39.1,24.44,235.385,3957.0,126.0,10855.0,1045.0,,,8.29365079365,2.74323982815
2014-02-01,20.49,38.0,24.6,235.672,3946.0,107.0,10893.0,1098.0,,,10.261682243,2.76051697922
2014-03-01,20.48,39.7,24.5,235.978,4156.0,123.0,10537.0,950.0,,,7.72357723577,2.5353705486
2014-04-01,20.51,39.9,24.6,236.471,4844.0,129.0,9079.0,796.0,,,6.17054263566,1.87427745665
2014-05-01,20.55,39.7,24.63,236.832,4607.0,151.0,9443.0,747.0,,,4.94701986755,2.04970696766
2014-06-01,20.59,39.6,24.63,237.029,4665.0,170.0,9893.0,710.0,,,4.17647058824,2.12068595927
2014-07-01,20.62,39.9,24.66,237.424,4890.0,159.0,10307.0,666.0,,,4.18867924528,2.10777096115
2014-08-01,20.67,39.8,24.71,237.256,5098.0,147.0,9787.0,678.0,,,4.61224489796,1.91977245979
2014-09-01,20.68,39.7,24.81,237.486,4639.0,107.0,8962.0,604.0,,,5.64485981308,1.93188187109
2014-10-01,20.71,39.3,24.75,237.506,5146.0,145.0,8680.0,542.0,,,3.73793103448,1.68674698795
2014-11-01,20.77,39.7,24.82,237.118,4453.0,106.0,8630.0,629.0,,,5.93396226415,1.93801931282
2014-12-01,20.73,39.8,24.8,236.29,4398.0,97.0,8331.0,680.0,,,7.01030927835,1.89427012278
2015-01-01,20.81,39.7,24.99,234.913,5068.0,140.0,9498.0,811.0,2.45585625902,2.21476757812,5.79285714286,1.87411207577
2015-02-01,20.82,39.7,24.77,235.489,4958.0,153.0,9095.0,906.0,0.769304571456,1.68950392606,5.92156862745,1.8344090359
2015-03-01,20.89,39.4,25.09,235.989,5116.0,173.0,8682.0,831.0,2.40338978097,1.99719857507,4.80346820809,1.69702892885
2015-04-01,20.92,39.3,25.17,236.201,5933.0,171.0,7966.0,652.0,2.43403122661,2.11561936261,3.81286549708,1.34265969998
2015-05-01,20.99,39.4,25.19,236.891,5428.0,171.0,8370.0,569.0,2.24817777631,2.1156799855,3.32748538012,1.54200442152
2015-06-01,21.0,39.8,25.26,237.419,5145.0,152.0,8638.0,522.0,2.38938802073,1.82372037169,3.43421052632,1.67891156463
2015-07-01,21.04,39.5,25.14,237.876,6168.0,156.0,8805.0,474.0,1.75275846554,1.84297212027,3.03846153846,1.42752918288
2015-08-01,21.1,39.8,25.19,237.811,5531.0,159.0,8162.0,525.0,1.70462132254,1.84207602246,3.30188679245,1.47568251672
2015-09-01,21.12,39.6,25.01,237.467,5423.0,106.0,7628.0,479.0,0.814192172691,2.13583092262,4.51886792453,1.40660151208
2015-10-01,21.19,40.0,25.34,237.792,5737.0,130.0,7597.0,534.0,2.26069808569,2.19466013121,4.10769230769,1.32421126024
2015-11-01,21.21,39.7,25.44,238.153,4969.0,84.0,7573.0,536.0,2.05253481895,1.67463886501,6.38095238095,1.52404910445
2015-12-01,21.26,40.2,25.44,237.846,4961.0,129.0,7542.0,645.0,1.90955763461,1.88575038556,5.0,1.5202580125
2016-01-01,21.32,39.8,25.41,238.106,5679.0,158.0,8309.0,729.0,0.317135077259,1.07688097419,4.61392405063,1.46310970241
2016-02-01,21.33,39.6,25.41,237.808,5412.0,193.0,8219.0,749.0,1.58341845565,1.4505241775,3.88082901554,1.51866223208
2016-03-01,21.4,39.4,25.69,238.078,5827.0,209.0,8116.0,768.0,1.49296436005,1.54249442432,3.67464114833,1.39282649734
2016-04-01,21.46,39.5,25.72,238.908,5951.0,184.0,7413.0,530.0,1.02730967153,1.41894224521,2.88043478261,1.24567299614
2016-05-01,21.48,39.6,25.86,239.362,5591.0,187.0,7207.0,461.0,1.60000032374,1.27801824971,2.46524064171,1.28903595063
2016-06-01,21.53,39.7,26.05,239.842,5467.0,171.0,8144.0,417.0,2.08563059491,1.4880643646,2.43859649123,1.48966526431
2016-07-01,21.59,39.7,26.12,239.898,6254.0,238.0,8267.0,410.0,3.02245598373,1.74917733573,1.72268907563,1.32187400064
2016-08-01,21.62,39.4,26.07,240.389,5581.0,184.0,7996.0,454.0,2.3835565938,1.36559702137,2.46739130435,1.43271815087
2016-09-01,21.68,39.6,26.21,241.006,5676.0,237.0,7658.0,474.0,3.25919622608,1.14415138414,2.0,1.34918957012
2016-10-01,21.72,39.6,26.28,241.694,5853.0,196.0,7447.0,512.0,2.03522363713,0.846361711205,2.61224489796,1.27233897147
2016-11-01,21.74,39.8,26.24,242.199,5379.0,178.0,7066.0,517.0,1.42159465989,0.786550694296,2.90449438202,1.31362706823
2016-12-01,21.8,39.2,26.23,242.821,5116.0,140.0,7170.0,670.0,0.992888192428,0.439106852392,4.78571428571,1.40148553557
2017-01-01,21.83,39.3,26.33,244.158,5557.0,142.0,8149.0,859.0,1.05215383027,-0.145896744775,6.04929577465,1.46643872593
2017-02-01,21.86,39.8,26.29,244.456,5500.0,181.0,7887.0,781.0,0.64951356963,-0.302317891194,4.31491712707,1.434
2017-03-01,21.9,39.3,26.4,243.752,5723.0,161.0,7284.0,764.0,0.371612285584,-0.0457144583602,4.74534161491,1.27275904246
2017-04-01,21.96,39.9,26.37,244.158,6312.0,200.0,6555.0,585.0,0.322627813718,0.129570200929,2.925,1.03849809886
2017-05-01,21.99,39.9,26.51,243.846,5665.0,154.0,6572.0,502.0,0.62844838506,0.491775947792,3.25974025974,1.1601059135
2017-06-01,22.03,39.7,26.64,243.79,,,7250.0,430.0,0.608770693194,0.66530575844,,
