date,spot,prices,revenue,MiningRevenue,OtherRevenue,G,Currency
1990-01,512.8,1.055,41.8,4.0,37.8,30.2,141.4
1990-02,529.0,1.064,27.8,8.0,19.8,40.5,154.2
1990-03,551.8,1.126,45.1,15.0,30.1,54.2,163.3
1990-04,614.3,1.156,40.7,8.0,32.7,43.2,165.8
1990-05,667.5,1.191,60.4,16.0,44.4,69.2,174.6
1990-06,684.8,1.256,49.4,16.9,32.5,70.8,195.9
1990-07,713.5,1.314,30.9,0.0,30.9,143.7,308.7
1990-08,791.5,1.389,51.0,6.1,44.9,24.8,232.9
1990-09,863.0,1.500,35.4,4.1,31.3,50.4,247.9
1990-10,983.5,1.910,63.6,13.3,50.3,84.4,268.7
1990-11,1456.9,2.711,97.7,31.6,66.0,172.7,343.8
1990-12,2066.3,3.650,125.5,46.3,79.2,208.8,427.1
1991-01,2468.8,4.73,94.7,16.0,78.7,138.2,470.6
1991-02,3262.5,5.76,121.1,20.0,101.1,183.0,532.5
1991-03,3875.0,7.08,153.6,15.0,138.6,357.5,736.4
1991-04,4175.0,7.93,193.2,42.9,150.4,384.5,927.7
1991-05,5050.0,9.69,165.6,0.0,165.6,290.4,1052.5
1991-06,7000.0,11.29,225.9,0.0,225.9,722.9,1549.5
1991-07,10200.0,15.61,186.8,0.0,186.8,393.8,1756.5
1991-08,14250.0,22.91,300.3,0.0,300.3,1111.0,2567.2
1991-09,18250.0,30.74,257.5,0.0,257.5,610.2,2919.8
1991-10,23250.0,51.53,1191.8,913.8,278.0,3115.6,4843.6
1991-11,46000.0,110.37,1483.0,1065.1,417.9,4789.3,8149.9
1991-12,65250.0,157.96,2510.6,1448.7,1061.9,5206.1,10845.4
1992-01,82500,174.1,913,0,913,1695,11628
1992-02,106250,221.3,1433,0,1433,3761,13955
1992-03,117500,259.2,3331,0,3331,7640,18263
1992-04,128500,323.2,3470,0,3470,9094,23888
1992-05,209750,356.1,3543,0,3543,11930,32275
1992-06,392500,581.6,6869,0,6869,29251,54657
1992-07,595000,1117.8,9568,0,9568,50388,95476
1992-08,687500,1422.7,12755,0,12755,51943,134665
1992-09,1192500,2394.5,21290,0,21290,77749,191124
1992-10,1712500,3373.8,22722,0,22722,80529,248931
1992-11,1825000,3728.1,38748,0,38748,70636,280819
1992-12,2112500,4469.9,40942,0,40942,124421,364297
1993-01,2350000,6012,31384,0,31384,107635,440548
1993-02,2337500,7599,24982,0,24982,64279,479845
1993-03,2462500,7181,101083,0,101083,142184,520946
1993-04,2975000,7375,82142,0,82142,259138,697942
1993-05,3450000,8032,64516,0,64516,149060,782486
1993-06,4100000,8530,120287,0,120287,184105,846304
1993-07,4650000,9792,92375,0,92375,235692,989621
1993-08,5625000,10575,188131,0,188131,239853,1041343
1993-09,7875000,13483,255854,0,255854,388966,1174455
1993-10,10600000,17677,119533,0,119533,1349382,2404305
1993-11,30000000,61586,317268,0,317268,2661961,4748998
1993-12,177000000,209331,1915437,0,1915437,11245440,14079000
1994-01,3.555E+08,6.069E+05,4.650E+05,0.000E+00,4.650E+05,2.913E+06,1.653E+07
1994-02,3.675E+08,6.414E+05,1.797E+06,0.000E+00,1.797E+06,5.574E+06,2.030E+07
1994-03,4.500E+08,7.242E+05,5.739E+06,0.000E+00,5.739E+06,1.694E+07,3.150E+07
1994-04,7.500E+08,1.151E+06,8.148E+06,0.000E+00,8.148E+06,2.890E+07,5.225E+07
1994-05,1.110E+09,1.900E+06,1.302E+07,0.000E+00,1.302E+07,3.617E+07,7.540E+07
1994-06,1.410E+09,2.360E+06,1.865E+07,0.000E+00,1.865E+07,6.410E+07,1.208E+08
1994-07,2.640E+09,4.804E+06,3.821E+07,0.000E+00,3.821E+07,1.588E+08,2.415E+08
1994-08,4.575E+09,7.927E+06,4.832E+07,0.000E+00,4.832E+07,1.290E+08,3.222E+08
1994-09,6.000E+09,1.224E+07,6.480E+07,0.000E+00,6.480E+07,2.000E+08,4.573E+08
1994-10,7.500E+09,1.545E+07,9.784E+07,0.000E+00,9.784E+07,2.225E+08,5.820E+08
1994-11,9.150E+09,1.909E+07,1.327E+08,0.000E+00,1.327E+08,2.501E+08,6.994E+08
1994-12,9.975E+09,2.072E+07,1.955E+08,0.000E+00,1.955E+08,3.274E+08,8.313E+08
1995-01,1.144E+10,2.435E+07,2.067E+08,0.000E+00,2.067E+08,2.804E+08,9.049E+08
1995-02,1.125E+10,2.502E+07,2.347E+08,0.000E+00,2.347E+08,3.033E+08,9.736E+08
1995-03,1.122E+10,2.523E+07,2.911E+08,1.753E+07,2.736E+08,3.823E+08,1.065E+09
1995-04,1.279E+10,2.712E+07,3.060E+08,2.944E+07,2.766E+08,4.432E+08,1.202E+09
1995-05,1.508E+10,3.247E+07,4.970E+08,4.602E+07,4.509E+08,7.193E+08,1.424E+09
1995-06,1.725E+10,3.590E+07,4.974E+08,1.541E+08,3.433E+08,9.167E+08,1.843E+09
1995-07,1.995E+10,4.132E+07,7.980E+08,0.000E+00,7.980E+08,1.110E+09,2.156E+09
1995-08,1.924E+10,4.321E+07,5.970E+08,9.404E+07,5.029E+08,8.127E+08,2.372E+09
1995-09,2.469E+10,5.264E+07,6.293E+08,7.369E+07,5.557E+08,1.344E+09,3.086E+09
1995-10,3.525E+10,6.795E+07,5.894E+08,9.121E+07,4.982E+08,1.108E+09,3.605E+09
1995-11,4.397E+10,8.963E+07,8.304E+08,1.170E+08,7.134E+08,1.442E+09,4.216E+09
1995-12,4.762E+10,9.743E+07,8.837E+08,1.334E+08,7.503E+08,1.720E+09,5.052E+09
1996-01,5.768E+10,1.302E+08,8.573E+08,7.754E+07,7.798E+08,1.470E+09,5.665E+09
1996-02,7.039E+10,1.525E+08,1.312E+09,2.463E+08,1.066E+09,2.520E+09,6.872E+09
1996-03,8.263E+10,1.762E+08,1.811E+09,0.000E+00,1.811E+09,2.453E+09,7.514E+09
1996-04,9.514E+10,2.056E+08,1.489E+09,0.000E+00,1.489E+09,2.670E+09,8.695E+09
1996-05,1.038E+11,2.272E+08,2.202E+09,0.000E+00,2.202E+09,4.391E+09,1.088E+10
1996-06,1.192E+11,2.544E+08,2.793E+09,0.000E+00,2.793E+09,3.712E+09,1.180E+10
